Protein(s),Protein Description(s),PSMs (PEC1),PSMs (PEC2),PSMs (PEC3),PSMs (PED1 1.5),PSMs (PED2 1.5),PSMs (PED3 1.5),PSMs (PED4 1:2),PSMs (PED5 1:2),PSMs (PED6 1:2),NSAF (PEC1),NSAF (PEC2),NSAF (PEC3),NSAF (PED1 1.5),NSAF (PED2 1.5),NSAF (PED3 1.5),NSAF (PED4 1:2),NSAF (PED5 1:2),NSAF (PED6 1:2)
"gi|220973347|gb|EED91678.1|,gi|224003799|ref|XP_002291571.1|",predicted protein [Thalassiosira pseudonana CCMP1335],154,138,149,116,113,116,125,105,113,0.001,0.001,0.001,0.001,0.001,0.001,0.000991,0.000819,0.000931
"gi|224011010|ref|XP_002294462.1|,gi|220969957|gb|EED88296.1|",glutamate synthase [Thalassiosira pseudonana CCMP1335],144,140,137,116,108,97,121,132,122,0.000364,0.000359,0.000336,0.000377,0.000365,0.000314,0.000312,0.000335,0.000327
"gi|220971597|gb|EED89931.1|,gi|224007551|ref|XP_002292735.1|",hypothetical protein THAPSDRAFT_24248 [Thalassiosira pseudonana CCMP1335],174,165,182,80,76,77,108,141,112,0.000472,0.000454,0.000479,0.000279,0.000276,0.000267,0.000299,0.000384,0.000322
"gi|2873343219|pdb|8ZET|C,gi|2873343183|pdb|8ZEH|C","Chain C, Fucoxanthin chl a/c light-harvesting protein, major type",123,117,130,126,127,133,122,114,121,0.003,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.003
"gi|220978061|gb|EED96387.1|,gi|223994125|ref|XP_002286746.1|",hypothetical protein THAPSDRAFT_1326 [Thalassiosira pseudonana CCMP1335],138,141,138,95,89,105,147,127,124,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001
"gi|220970292|gb|EED88630.1|,gi|224010635|ref|XP_002294275.1|",hypothetical protein THAPSDRAFT_10234 [Thalassiosira pseudonana CCMP1335],136,116,141,114,107,108,128,125,122,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"gi|223998931|ref|XP_002289138.1|,gi|220974346|gb|EED92675.1|",ATP synthase [Thalassiosira pseudonana CCMP1335],125,138,161,82,96,97,132,142,122,0.001,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.001
"gi|220976781|gb|EED95108.1|,gi|223995983|ref|XP_002287665.1|",NADPH nitrite reductase [Thalassiosira pseudonana CCMP1335],139,117,130,97,102,106,119,142,138,0.000575,0.000491,0.000522,0.000516,0.000564,0.000561,0.000503,0.00059,0.000606
"gi|223995893|ref|XP_002287620.1|,gi|220976736|gb|EED95063.1|",predicted protein [Thalassiosira pseudonana CCMP1335],91,107,118,134,128,131,118,127,127,0.001,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.002
"gi|224011770|ref|XP_002294538.1|,gi|220969558|gb|EED87898.1|",precursor of synthase [Thalassiosira pseudonana CCMP1335],147,131,139,114,80,86,129,137,118,0.001,0.001,0.001,0.001,0.000941,0.000968,0.001,0.001,0.001
"gi|220974850|gb|EED93179.1|,gi|223999939|ref|XP_002289642.1|",predicted protein [Thalassiosira pseudonana CCMP1335],129,138,155,73,59,80,148,146,152,0.003,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.003
"gi|224000309|ref|XP_002289827.1|,gi|220975035|gb|EED93364.1|",predicted protein [Thalassiosira pseudonana CCMP1335],143,145,153,93,75,95,122,129,124,0.000872,0.000896,0.000904,0.000728,0.000611,0.000741,0.000759,0.000789,0.000802
"gi|224008835|ref|XP_002293376.1|,gi|220970776|gb|EED89112.1|",predicted protein [Thalassiosira pseudonana CCMP1335],93,111,121,128,134,123,135,118,116,0.002,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.003
"gi|224001804|ref|XP_002290574.1|,gi|220973996|gb|EED92326.1|",triosephosphate isomerase/glyceraldehyde-3-phosphate dehydrogenase precursor [Thalassiosira pseudonana CCMP1335],120,124,137,110,92,97,122,145,125,0.000812,0.000851,0.000899,0.000956,0.000832,0.00084,0.000843,0.000985,0.000897
"gi|224014072|ref|XP_002296699.1|,gi|220968554|gb|EED86900.1|",phosphoglycerate kinase precursor [Thalassiosira pseudonana CCMP1335],122,112,119,118,134,116,132,107,112,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0.001
"gi|224000914|ref|XP_002290129.1|,gi|220973551|gb|EED91881.1|",glyceraldehyde 3-phosphate dehydrogenase [Thalassiosira pseudonana CCMP1335],122,112,132,104,107,99,128,140,121,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"gi|223994177|ref|XP_002286772.1|,gi|220978087|gb|EED96413.1|",predicted protein [Thalassiosira pseudonana CCMP1335],103,104,111,128,124,116,116,127,127,0.002,0.002,0.002,0.003,0.004,0.003,0.003,0.003,0.003
"gi|2599405795|pdb|8IWH|c,gi|2599405794|pdb|8IWH|C","Chain c, Photosystem II CP43 reaction center protein,Chain C, Photosystem II CP43 reaction center protein",120,129,131,100,100,99,132,130,111,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"gi|224015441|ref|XP_002297375.1|,gi|220967975|gb|EED86338.1|",predicted protein [Thalassiosira pseudonana CCMP1335],97,118,131,91,66,121,153,140,130,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002
"gi|220977677|gb|EED96003.1|,gi|223993357|ref|XP_002286362.1|",tubulin beta [Thalassiosira pseudonana CCMP1335],118,117,121,118,110,106,124,112,118,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
gi|2873343190|pdb|8ZEH|K,"Chain K, Fucoxanthin chlorophyll a/c light-harvesting protein",166,157,160,49,33,44,147,147,127,0.004,0.004,0.004,0.001,0.001,0.001,0.004,0.003,0.003
"gi|223998112|ref|XP_002288729.1|,gi|220975837|gb|EED94165.1|",fucoxanthin chlorophyll a/c protein 6 [Thalassiosira pseudonana CCMP1335],92,82,67,119,99,121,144,147,144,0.002,0.002,0.001,0.003,0.003,0.003,0.003,0.003,0.003
"gi|118411153|ref|YP_874547.1|,gi|224015766|ref|XP_002297531.1|,gi|2050584426|gb|QWM92967.1|,gi|2843533619|pdb|8XLS|D,gi|220967795|gb|EED86171.1|,gi|116739900|gb|ABK20770.1|","photosystem I subunit II (chloroplast) [Thalassiosira pseudonana],predicted protein [Thalassiosira pseudonana CCMP1335],subunit II of photosystem I (chloroplast) [Thalassiosira pseudonana],Chain D, Photosystem I reaction center subunit II,photosystem I ferredoxin-binding protein (chloroplast) [Thalassiosira pseudonana]",112,117,125,90,101,103,121,123,104,0.003,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.003
"gi|220968643|gb|EED86989.1|,gi|224014250|ref|XP_002296788.1|",glutathione s-transferase [Thalassiosira pseudonana CCMP1335],142,147,166,78,58,77,114,110,100,0.002,0.003,0.003,0.002,0.001,0.002,0.002,0.002,0.002
"gi|220972175|gb|EED90508.1|,gi|224007146|ref|XP_002292533.1|",hypothetical protein THAPSDRAFT_269459 [Thalassiosira pseudonana CCMP1335],108,116,118,97,119,108,112,117,96,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
"gi|220973545|gb|EED91875.1|,gi|224000902|ref|XP_002290123.1|","RL4e, ribosomal protein 4e 60S large ribosomal subunit [Thalassiosira pseudonana CCMP1335]",163,144,156,52,51,55,136,123,110,0.002,0.002,0.002,0.000736,0.000751,0.000775,0.002,0.001,0.001
"gi|224011607|ref|XP_002295578.1|,gi|2599405836|pdb|8IWH|7,gi|209583609|gb|ACI64295.1|,gi|2599405843|pdb|8IWH|0","fucoxanthin chlorophyll a/c protein -LI818 clade [Thalassiosira pseudonana CCMP1335],Chain 7, Fucoxanthin chlorophyll a/c protein-LI818 clade,Chain 0, Fucoxanthin chlorophyll a/c protein-LI818 clade",111,120,106,99,90,109,110,131,114,0.002,0.003,0.002,0.003,0.003,0.003,0.002,0.003,0.003
"gi|220975075|gb|EED93404.1|,gi|224000389|ref|XP_002289867.1|",pyruvate kinase [Thalassiosira pseudonana CCMP1335],126,112,119,106,97,108,111,101,109,0.001,0.000927,0.000942,0.001,0.001,0.001,0.000925,0.000828,0.000944
"gi|223999219|ref|XP_002289282.1|,gi|220974490|gb|EED92819.1|",phosphofructokinase [Thalassiosira pseudonana CCMP1335],111,110,120,90,82,97,137,118,120,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"gi|220973450|gb|EED91781.1|,gi|224004005|ref|XP_002291674.1|",predicted protein [Thalassiosira pseudonana CCMP1335],106,114,117,122,115,108,101,94,106,0.000748,0.000815,0.000801,0.001,0.001,0.000975,0.000727,0.000666,0.000793
"gi|224008993|ref|XP_002293455.1|,gi|220970855|gb|EED89191.1|",vacuolar proton pump alpha subunit [Thalassiosira pseudonana CCMP1335],116,117,121,93,106,104,102,111,104,0.000778,0.000795,0.000787,0.000801,0.00095,0.000892,0.000698,0.000747,0.000739
"gi|223997748|ref|XP_002288547.1|,gi|220975655|gb|EED93983.1|",predicted protein [Thalassiosira pseudonana CCMP1335],102,101,118,102,80,107,117,123,114,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001
"gi|2873343218|pdb|8ZET|B,gi|2873343182|pdb|8ZEH|B","Chain B, Fucoxanthin chlorophyll a/c-binding protein Lhcq8",98,88,94,82,88,89,135,150,139,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004
"gi|224010722|ref|XP_002294318.1|,gi|220969813|gb|EED88152.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",92,97,109,96,88,109,127,122,115,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003
gi|2599405856|pdb|8J0D|5,"Chain 5, Fucoxanthin chlorophyll a/c protein 6",91,78,66,101,88,108,137,137,135,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.004
gi|2599405834|pdb|8IWH|5,"Chain 5, Fucoxanthin chlorophyll a/c protein 6",91,78,66,101,88,108,137,137,135,0.002,0.002,0.001,0.003,0.003,0.003,0.003,0.003,0.003
gi|2050584476|gb|QWM93017.1|,small subunit Rubisco (chloroplast) [Thalassiosira pseudonana],114,119,141,71,71,82,116,114,105,0.003,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.003
gi|98990421|gb|ABF60279.1|,"PSbC, partial [Thalassiosira pseudonana]",105,114,117,88,87,86,115,117,93,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
gi|329342810|gb|AEB91047.1|,"PsbC, partial (chloroplast) [Thalassiosira pseudonana]",105,114,117,88,87,86,115,117,93,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
gi|98990385|gb|ABF60261.1|,"PSbC, partial [Thalassiosira pseudonana]",105,114,117,88,87,86,115,117,93,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"gi|116739845|gb|ABK20715.1|,gi|220967786|gb|EED86162.1|,gi|118411098|ref|YP_874492.1|,gi|224015748|ref|XP_002297522.1|,gi|2050584481|gb|QWM93022.1|","ferredoxin (chloroplast) [Thalassiosira pseudonana],ferredoxin [Thalassiosira pseudonana CCMP1335]",44,70,64,139,155,145,94,94,115,0.002,0.003,0.003,0.008,0.009,0.008,0.004,0.004,0.005
"gi|224006295|ref|XP_002292108.1|,gi|220972627|gb|EED90959.1|",gcpe-like protein [Thalassiosira pseudonana CCMP1335],99,91,98,118,105,118,90,96,103,0.000601,0.00056,0.000577,0.00092,0.000852,0.000916,0.000557,0.000585,0.000663
"gi|224000387|ref|XP_002289866.1|,gi|220975074|gb|EED93403.1|",alpha enolase [Thalassiosira pseudonana CCMP1335],94,98,99,105,113,113,99,98,92,0.000889,0.00094,0.000908,0.001,0.001,0.001,0.000956,0.000931,0.000923
"gi|224000209|ref|XP_002289777.1|,gi|220974985|gb|EED93314.1|",predicted protein [Thalassiosira pseudonana CCMP1335],120,112,123,85,64,78,104,103,111,0.000501,0.000474,0.000498,0.000455,0.000357,0.000416,0.000443,0.000431,0.000491
"gi|2873343206|pdb|8ZET|a,gi|2873343193|pdb|8ZEH|a","Chain a, Photosystem I P700 chlorophyll a apoprotein A1",135,123,130,58,60,61,116,104,112,0.000756,0.000699,0.000706,0.000417,0.000449,0.000437,0.000663,0.000585,0.000666
"gi|2843533616|pdb|8XLS|A,gi|116739843|gb|ABK20713.1|,gi|125959466|sp|A0T0M8.1|PSAA_THAPS,gi|2050584483|gb|QWM93024.1|,gi|118411096|ref|YP_874490.1|","Chain A, Photosystem I P700 chlorophyll a apoprotein A1,photosystem I p700 chlorophyll A apoprotein A (chloroplast) [Thalassiosira pseudonana],RecName: Full=Photosystem I P700 chlorophyll a apoprotein A1; AltName: Full=PSI-A; AltName: Full=PsaA,P700 apoprotein A1 of photosystem I (chloroplast) [Thalassiosira pseudonana],photosystem I P700 chlorophyll a apoprotein A1 (chloroplast) [Thalassiosira pseudonana]",135,123,130,58,60,61,116,104,112,0.000747,0.00069,0.000698,0.000412,0.000444,0.000432,0.000655,0.000578,0.000658
"gi|2599405797|pdb|8IWH|d,gi|2599405796|pdb|8IWH|D,gi|2050584431|gb|QWM92972.1|,gi|116739895|gb|ABK20765.1|,gi|221222714|sp|A0T0T0.1|PSBD_THAPS,gi|118411148|ref|YP_874542.1|","Chain d, Photosystem II D2 protein,Chain D, Photosystem II D2 protein,D2 reaction center protein of photosystem II (chloroplast) [Thalassiosira pseudonana],photosystem II reaction center protein D2 (chloroplast) [Thalassiosira pseudonana],RecName: Full=Photosystem II D2 protein; Short=PSII D2 protein; AltName: Full=Photosystem Q(A) protein,photosystem II protein D2 (chloroplast) [Thalassiosira pseudonana]",72,79,79,116,128,122,111,97,92,0.000854,0.00095,0.000909,0.002,0.002,0.002,0.001,0.001,0.001
"gi|223995685|ref|XP_002287516.1|,gi|220976632|gb|EED94959.1|","metalloprotease, partial [Thalassiosira pseudonana CCMP1335]",101,99,113,90,83,105,106,102,95,0.000724,0.000719,0.000785,0.000828,0.000795,0.000962,0.000775,0.000734,0.000722
"gi|224009610|ref|XP_002293763.1|,gi|220970435|gb|EED88772.1|",predicted protein [Thalassiosira pseudonana CCMP1335],142,133,129,77,56,68,94,103,91,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.001
"gi|220969384|gb|EED87725.1|,gi|224012585|ref|XP_002294945.1|",hypothetical protein THAPSDRAFT_26051 [Thalassiosira pseudonana CCMP1335],102,91,94,102,104,100,90,98,102,0.001,0.000923,0.000912,0.001,0.001,0.001,0.000919,0.000984,0.001
"gi|224003669|ref|XP_002291506.1|,gi|220973282|gb|EED91613.1|",predicted protein [Thalassiosira pseudonana CCMP1335],93,102,103,96,79,97,102,101,109,0.000985,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"gi|209583650|gb|ACI64336.1|,gi|2843533631|pdb|8XLS|4,gi|224011689|ref|XP_002295619.1|","fucoxanthin chl a/c light-harvesting protein, major type [Thalassiosira pseudonana CCMP1335],Chain 4, Fucoxanthin chl a/c light-harvesting protein, major type",96,92,110,100,99,105,96,86,91,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.002
"gi|2873343194|pdb|8ZEH|d,gi|2873343209|pdb|8ZET|d","Chain d, Photosystem I reaction center subunit II",98,103,109,75,84,86,109,105,94,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.003
gi|98990547|gb|ABF60341.1|,"ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Thalassiosira pseudonana]",82,121,126,86,76,77,103,92,100,0.000697,0.001,0.001,0.000938,0.000863,0.000837,0.000893,0.000785,0.000901
"gi|220977460|gb|EED95786.1|,gi|223992923|ref|XP_002286145.1|",predicted protein [Thalassiosira pseudonana CCMP1335],111,102,105,77,82,77,102,98,101,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"gi|220977307|gb|EED95633.1|,gi|223992617|ref|XP_002285992.1|",aspartate aminotransferase [Thalassiosira pseudonana CCMP1335],106,88,96,82,94,93,98,92,90,0.001,0.000908,0.000948,0.001,0.001,0.001,0.001,0.00094,0.000972
"gi|220972174|gb|EED90507.1|,gi|224007144|ref|XP_002292532.1|",hypothetical protein THAPSDRAFT_24060 [Thalassiosira pseudonana CCMP1335],91,102,103,69,81,79,112,105,96,0.000863,0.000981,0.000947,0.00084,0.001,0.000958,0.001,0.001,0.000965
"gi|224010836|ref|XP_002294375.1|,gi|220969870|gb|EED88209.1|",predicted protein [Thalassiosira pseudonana CCMP1335],95,99,104,111,73,92,92,87,85,0.000251,0.000265,0.000266,0.000377,0.000258,0.000311,0.000248,0.000231,0.000238
"gi|220970285|gb|EED88623.1|,gi|224010621|ref|XP_002294268.1|",predicted protein [Thalassiosira pseudonana CCMP1335],127,110,121,50,60,62,109,102,91,0.000932,0.000819,0.000862,0.000472,0.000589,0.000582,0.000817,0.000752,0.000709
"gi|220969257|gb|EED87598.1|,gi|224012331|ref|XP_002294818.1|",ascorbate peroxidase [Thalassiosira pseudonana CCMP1335],83,87,87,99,93,90,96,87,93,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.001,0.002
"gi|223995691|ref|XP_002287519.1|,gi|220976635|gb|EED94962.1|,gi|313471265|sp|B8BVM7.1|EFTS1_THAPS","predicted protein [Thalassiosira pseudonana CCMP1335],RecName: Full=Elongation factor Ts 1, mitochondrial; Short=EF-Ts 1; Short=EF-TsMt 1",85,87,83,106,105,99,90,76,76,0.000986,0.001,0.000933,0.002,0.002,0.001,0.001,0.000885,0.000935
"gi|223993855|ref|XP_002286611.1|,gi|220977926|gb|EED96252.1|",oxidoreductase [Thalassiosira pseudonana CCMP1335],69,76,74,108,103,109,96,81,90,0.000648,0.000724,0.000674,0.001,0.001,0.001,0.000921,0.000764,0.000897
"gi|223992685|ref|XP_002286026.1|,gi|220977341|gb|EED95667.1|",predicted protein [Thalassiosira pseudonana CCMP1335],73,74,74,107,102,109,95,80,90,0.00075,0.000771,0.000738,0.001,0.001,0.001,0.000996,0.000825,0.000981
"gi|224001716|ref|XP_002290530.1|,gi|220973952|gb|EED92282.1|","heat shock protein, HSP70, hsc70 [Thalassiosira pseudonana CCMP1335]",90,93,115,88,78,69,93,79,95,0.0006,0.000629,0.000744,0.000754,0.000696,0.000589,0.000633,0.000529,0.000672
"gi|220975010|gb|EED93339.1|,gi|224000259|ref|XP_002289802.1|",hypothetical protein THAPSDRAFT_27892 [Thalassiosira pseudonana CCMP1335],79,87,85,89,76,97,89,100,93,0.000723,0.000807,0.000754,0.001,0.000929,0.001,0.000831,0.000918,0.000902
"gi|220976371|gb|EED94698.1|,gi|223995143|ref|XP_002287255.1|",predicted protein [Thalassiosira pseudonana CCMP1335],71,85,83,100,110,106,83,76,75,0.000743,0.000901,0.000842,0.001,0.002,0.001,0.000886,0.000798,0.000832
"gi|220967888|gb|EED86258.1|,gi|224015580|ref|XP_002297441.1|",predicted protein [Thalassiosira pseudonana CCMP1335],103,103,92,53,67,38,124,96,112,0.002,0.002,0.002,0.001,0.002,0.001,0.003,0.002,0.002
gi|4093213|gb|AAC99783.1|,"ribulose-1,5-carboxylase/oxygenase large subunit, partial (chloroplast) [Thalassiosira pseudonana]",99,75,85,61,62,64,116,129,96,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003
"gi|223992865|ref|XP_002286116.1|,gi|220977431|gb|EED95757.1|",probable malate dehydrogenase with mitochondrial or glyoxysomal precursor [Thalassiosira pseudonana CCMP1335],82,83,91,87,87,101,84,85,86,0.00097,0.000995,0.001,0.001,0.001,0.002,0.001,0.001,0.001
"gi|223999031|ref|XP_002289188.1|,gi|220974396|gb|EED92725.1|",predicted protein [Thalassiosira pseudonana CCMP1335],125,107,121,66,58,51,81,82,91,0.001,0.001,0.001,0.000859,0.000785,0.000661,0.000837,0.000834,0.000978
"gi|2599405823|pdb|8IWH|u,gi|2599405822|pdb|8IWH|U,gi|223996703|ref|XP_002288025.1|,gi|220977141|gb|EED95468.1|","Chain u, PS II complex 12 kDa extrinsic protein,Chain U, PS II complex 12 kDa extrinsic protein,predicted protein [Thalassiosira pseudonana CCMP1335]",83,104,100,77,56,59,110,95,97,0.002,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.003
"gi|224012385|ref|XP_002294845.1|,gi|220969284|gb|EED87625.1|",fucoxanthin chlorophyll a/c protein 4 [Thalassiosira pseudonana CCMP1335],79,74,76,84,85,84,101,118,79,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"gi|224013196|ref|XP_002295250.1|,gi|220969212|gb|EED87554.1|",predicted protein [Thalassiosira pseudonana CCMP1335],75,86,93,71,72,86,95,107,94,0.000961,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"gi|2050584454|gb|QWM92995.1|,gi|125987531|sp|A0T0Q7.1|RK12_THAPS,gi|118411125|ref|YP_874519.1|,gi|116739872|gb|ABK20742.1|","ribosomal protein L12 (chloroplast) [Thalassiosira pseudonana],RecName: Full=Large ribosomal subunit protein bL12c; AltName: Full=50S ribosomal protein L12, chloroplastic,50S ribosomal protein L12 (chloroplast) [Thalassiosira pseudonana]",57,69,62,129,164,119,63,60,55,0.002,0.002,0.002,0.005,0.007,0.005,0.002,0.002,0.002
"gi|224010579|ref|XP_002294247.1|,gi|220970264|gb|EED88602.1|",predicted protein [Thalassiosira pseudonana CCMP1335],116,101,110,50,60,62,103,92,83,0.000852,0.000752,0.000783,0.000472,0.000589,0.000582,0.000772,0.000678,0.000646
"gi|116739935|gb|ABK20805.1|,gi|118411188|ref|YP_874582.1|,gi|2050584532|gb|QWM93073.1|,gi|125863543|sp|A0T0X0.1|CH60_THAPS","60 kDa chaperonin (chloroplast) [Thalassiosira pseudonana],chaperonin GroEL (chloroplast) [Thalassiosira pseudonana],60 KDa chaperonin (chloroplast) [Thalassiosira pseudonana],RecName: Full=Chaperonin GroEL, chloroplastic; AltName: Full=60 kDa chaperonin; AltName: Full=Chaperonin-60; Short=Cpn60",104,93,98,75,76,82,78,96,74,0.000815,0.000739,0.000745,0.000755,0.000796,0.000822,0.000624,0.000756,0.000615
"gi|220969005|gb|EED87348.1|,gi|224013261|ref|XP_002295282.1|",predicted protein [Thalassiosira pseudonana CCMP1335],83,90,88,90,61,82,87,100,95,0.000825,0.000907,0.000848,0.001,0.00081,0.001,0.000882,0.000997,0.001
"gi|223998614|ref|XP_002288980.1|,gi|220976088|gb|EED94416.1|",predicted protein [Thalassiosira pseudonana CCMP1335],99,97,98,60,58,64,92,99,108,0.000741,0.000736,0.000712,0.000577,0.00058,0.000613,0.000703,0.000744,0.000858
"gi|223995745|ref|XP_002287546.1|,gi|220976662|gb|EED94989.1|",phosphate transport protein [Thalassiosira pseudonana CCMP1335],114,120,108,54,63,62,92,91,70,0.002,0.002,0.001,0.000959,0.001,0.001,0.001,0.001,0.001
"gi|220968570|gb|EED86916.1|,gi|224014104|ref|XP_002296715.1|",predicted protein [Thalassiosira pseudonana CCMP1335],88,100,116,112,97,111,54,49,44,0.002,0.002,0.002,0.003,0.002,0.003,0.001,0.000935,0.000887
"gi|223996381|ref|XP_002287864.1|,gi|220976980|gb|EED95307.1|",predicted protein [Thalassiosira pseudonana CCMP1335],74,83,78,98,77,91,96,87,83,0.000844,0.00096,0.000863,0.001,0.001,0.001,0.001,0.000996,0.001
"gi|2873343205|pdb|8ZEH|c,gi|2873343208|pdb|8ZET|c","Chain c, Photosystem I iron-sulfur center",63,75,74,100,97,94,89,85,88,0.003,0.004,0.004,0.007,0.007,0.006,0.005,0.004,0.005
"gi|224009442|ref|XP_002293679.1|,gi|2599405802|pdb|8IWH|G,gi|220970351|gb|EED88688.1|,gi|2599405803|pdb|8IWH|g","hypothetical protein THAPSDRAFT_24769 [Thalassiosira pseudonana CCMP1335],Chain G, Photosystem II Psb31 protein domain-containing protein,Chain g, Photosystem II Psb31 protein domain-containing protein",106,119,104,53,56,60,89,88,86,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002
"gi|2050584482|gb|QWM93023.1|,gi|118411097|ref|YP_874491.1|,gi|220967818|gb|EED86194.1|,gi|125959480|sp|A0T0M9.1|PSAB_THAPS,gi|224015812|ref|XP_002297554.1|,gi|116739844|gb|ABK20714.1|,gi|2843533617|pdb|8XLS|B","P700 apoprotein A2 of photosystem I (chloroplast) [Thalassiosira pseudonana],photosystem I P700 chlorophyll a apoprotein A2 (chloroplast) [Thalassiosira pseudonana],predicted protein [Thalassiosira pseudonana CCMP1335],RecName: Full=Photosystem I P700 chlorophyll a apoprotein A2; AltName: Full=PSI-B; AltName: Full=PsaB,photosystem I p700 chlorophyll A apoprotein B (chloroplast) [Thalassiosira pseudonana],Chain B, Photosystem I P700 chlorophyll a apoprotein A2",105,99,118,28,23,18,116,137,113,0.000596,0.00057,0.00065,0.000204,0.000175,0.000131,0.000672,0.000781,0.000681
